[2026-06-18T11:42:26.973Z] GET https://docs.risechain.com/docs/risex/onboarding/account-setup → pending (?ms, ?B)
[2026-06-18T11:42:29.228Z] GET https://docs.risechain.com/_next/static/media/0c89a48fa5027cee-s.p.4564287c.woff2 → pending (?ms, ?B)
[2026-06-18T11:42:29.228Z] GET https://docs.risechain.com/_next/static/media/387ee14c0e0fe675-s.p.90620992.woff2 → pending (?ms, ?B)
[2026-06-18T11:42:29.228Z] GET https://docs.risechain.com/_next/static/media/c825fd02acae0153-s.p.1692d83b.woff2 → pending (?ms, ?B)
[2026-06-18T11:42:29.228Z] GET https://docs.risechain.com/_next/static/chunks/7691cad410ea6413.css?dpl=dpl_GjFnPRy5LCQMNTPaah3j7p9oWRPG → 200 (283ms, 19104B)
[2026-06-18T11:42:29.228Z] GET https://docs.risechain.com/_next/static/chunks/fddb960ad2ed7df1.js?dpl=dpl_GjFnPRy5LCQMNTPaah3j7p9oWRPG → pending (?ms, ?B)
[2026-06-18T11:42:29.228Z] GET https://docs.risechain.com/_next/static/chunks/566b5497d59bccba.js?dpl=dpl_GjFnPRy5LCQMNTPaah3j7p9oWRPG → pending (?ms, ?B)
[2026-06-18T11:42:29.228Z] GET https://docs.risechain.com/_next/static/chunks/25ef16b69a31e3e7.js?dpl=dpl_GjFnPRy5LCQMNTPaah3j7p9oWRPG → pending (?ms, ?B)
[2026-06-18T11:42:29.228Z] GET https://docs.risechain.com/_next/static/chunks/a8d2b4ec58164805.js?dpl=dpl_GjFnPRy5LCQMNTPaah3j7p9oWRPG → 200 (553ms, 24006B)
[2026-06-18T11:42:29.228Z] GET https://docs.risechain.com/_next/static/chunks/turbopack-9b1a949b06bbe2e0.js?dpl=dpl_GjFnPRy5LCQMNTPaah3j7p9oWRPG → pending (?ms, ?B)
[2026-06-18T11:42:29.228Z] GET https://docs.risechain.com/_next/static/chunks/170530bdab6becd1.js?dpl=dpl_GjFnPRy5LCQMNTPaah3j7p9oWRPG → 200 (601ms, 12480B)
[2026-06-18T11:42:29.228Z] GET https://docs.risechain.com/_next/static/chunks/d96012bcfc98706a.js?dpl=dpl_GjFnPRy5LCQMNTPaah3j7p9oWRPG → pending (?ms, ?B)
[2026-06-18T11:42:29.228Z] GET https://docs.risechain.com/_next/static/chunks/d80b3790a119a285.js?dpl=dpl_GjFnPRy5LCQMNTPaah3j7p9oWRPG → 200 (662ms, 7393B)
[2026-06-18T11:42:29.228Z] GET https://docs.risechain.com/_next/static/chunks/3443bc76a9afd2bf.js?dpl=dpl_GjFnPRy5LCQMNTPaah3j7p9oWRPG → pending (?ms, ?B)
[2026-06-18T11:42:29.228Z] GET https://docs.risechain.com/_next/static/chunks/69713cfea993e5db.js?dpl=dpl_GjFnPRy5LCQMNTPaah3j7p9oWRPG → 200 (632ms, 8861B)
[2026-06-18T11:42:29.228Z] GET https://docs.risechain.com/_next/static/chunks/17b4a7ecdd7b2ce3.js?dpl=dpl_GjFnPRy5LCQMNTPaah3j7p9oWRPG → pending (?ms, ?B)
[2026-06-18T11:42:29.228Z] GET https://docs.risechain.com/_next/static/chunks/b0dc1ba5245094fc.js?dpl=dpl_GjFnPRy5LCQMNTPaah3j7p9oWRPG → pending (?ms, ?B)
[2026-06-18T11:42:29.229Z] GET https://docs.risechain.com/_next/static/chunks/aba6aeb3258f70b9.js?dpl=dpl_GjFnPRy5LCQMNTPaah3j7p9oWRPG → pending (?ms, ?B)
[2026-06-18T11:42:29.229Z] GET https://docs.risechain.com/_next/static/chunks/4dbc269fcd352672.js?dpl=dpl_GjFnPRy5LCQMNTPaah3j7p9oWRPG → pending (?ms, ?B)
[2026-06-18T11:42:29.229Z] GET https://docs.risechain.com/_next/static/chunks/8eabe90d1ed50aef.js?dpl=dpl_GjFnPRy5LCQMNTPaah3j7p9oWRPG → pending (?ms, ?B)
